frame,cx,cy,r,hollowness,uniformity
test_01_run_0068,2672,480,38,63.24,0.09
test_01_run_0068,2826,334,42,60.24,0.13
test_01_run_0068,2740,714,43,65.31,0.08
test_01_run_0068,2760,1452,39,53.18,0.22
test_01_run_0068,2592,1996,36,57.82,0.15
test_01_run_0068,3144,2448,35,42.92,0.27
test_01_run_0068,2972,1086,38,51.72,0.21
test_01_run_0068,2864,2946,35,55.39,0.14
test_01_run_0068,2878,680,35,50.46,0.22
test_01_run_0068,2762,1106,35,48.32,0.25
test_01_run_0068,3316,92,35,47.50,0.21
test_01_run_0068,2942,1682,37,59.34,0.10
test_01_run_0068,2604,2998,31,40.26,0.31
test_01_run_0068,3210,1322,36,53.66,0.16
test_01_run_0068,2914,2170,25,39.52,0.39
test_01_run_0068,2738,2044,32,31.29,0.47
test_01_run_0068,2056,1328,18,22.58,0.89
test_01_run_0068,2666,2226,17,27.55,0.88
